feature,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
AGE,0.616374,1.8522,0.055308,0.507973,0.724776,1.661919,2.064268,0.0,11.144449,0.0,93.405842
WBC,0.112728,1.119328,0.030262,0.053416,0.172041,1.054868,1.187726,0.0,3.72509,0.000195,12.322421
HB,0.0121,1.012174,0.041075,-0.068406,0.092606,0.933881,1.09703,0.0,0.294581,0.768314,0.380232
PLT,0.011266,1.01133,0.026762,-0.041186,0.063718,0.959651,1.065792,0.0,0.420988,0.673764,0.569686
LDH,-0.003746,0.996261,0.029242,-0.061059,0.053568,0.940768,1.055028,0.0,-0.128089,0.898078,0.155087
BMB,0.024381,1.02468,0.058597,-0.090467,0.139228,0.913505,1.149386,0.0,0.416077,0.677354,0.562018
PBB,0.106445,1.112317,0.076762,-0.044005,0.256895,0.956949,1.29291,0.0,1.386694,0.165535,2.594791
de novo,-0.085845,0.917736,0.171542,-0.422061,0.25037,0.655694,1.284501,0.0,-0.500434,0.616769,0.697197
sAML,-0.064828,0.937228,0.192417,-0.441959,0.312302,0.642776,1.366568,0.0,-0.336915,0.736181,0.441868
EXAML,0.262141,1.29971,0.091046,0.083695,0.440588,1.087297,1.55362,0.0,2.879224,0.003987,7.970643
CGNK,0.021525,1.021759,0.087375,-0.149727,0.192778,0.860943,1.212613,0.0,0.246354,0.805409,0.312207
CGCX,0.101753,1.10711,0.136285,-0.165361,0.368868,0.847588,1.446096,0.0,0.74662,0.455293,1.135134
ASXL1,0.387295,1.472991,0.111808,0.168154,0.606435,1.183119,1.833883,0.0,3.463916,0.000532,10.875273
BCOR,0.328294,1.388597,0.150458,0.033402,0.623186,1.033966,1.86486,0.0,2.181965,0.029112,5.102235
BCORL1,0.20179,1.223591,0.172971,-0.137227,0.540807,0.871772,1.717393,0.0,1.16661,0.243368,2.038789
CBL,0.047857,1.049021,0.266053,-0.473596,0.569311,0.622759,1.767049,0.0,0.179879,0.857247,0.222217
CEBPA,-0.409283,0.664126,0.108709,-0.622349,-0.196218,0.536683,0.821833,0.0,-3.76495,0.000167,12.551473
CEBPA.TAD,0.88031,2.411647,0.207135,0.474333,1.286287,1.606942,3.619324,0.0,4.249933,2.1e-05,15.513145
CSF3R,-0.592855,0.552747,0.330014,-1.23967,0.05396,0.28948,1.055443,0.0,-1.796455,0.072422,3.787425
CUX1,0.278125,1.320651,0.191092,-0.096408,0.652658,0.908093,1.92064,0.0,1.455452,0.145544,2.780471
DNMT3A,0.212949,1.237322,0.076396,0.063215,0.362683,1.065256,1.437181,0.0,2.78742,0.005313,7.55627
EZH2,-0.171985,0.841992,0.166375,-0.498073,0.154104,0.607701,1.166612,0.0,-1.03372,0.301267,1.730885
FLT3I,0.105818,1.111619,0.082109,-0.055114,0.266749,0.946378,1.305712,0.0,1.288742,0.197488,2.340164
FLT3T,0.066402,1.068657,0.153474,-0.234401,0.367206,0.791045,1.443695,0.0,0.432662,0.66526,0.58801
GATA2,-0.062864,0.939072,0.154463,-0.365605,0.239878,0.693777,1.271094,0.0,-0.406982,0.684021,0.547887
IDH1,0.189169,1.208245,0.111798,-0.029952,0.40829,0.970492,1.504243,0.0,1.692054,0.090636,3.463776
IDH2,0.226418,1.2541,0.094769,0.040674,0.412162,1.041513,1.510078,0.0,2.38916,0.016887,5.887948
IKZF1,0.447918,1.56505,0.185553,0.084241,0.811594,1.087891,2.251495,0.0,2.413964,0.01578,5.985756
JAK2,0.428001,1.534188,0.274637,-0.110277,0.96628,0.895586,2.628149,0.0,1.558426,0.119132,3.069363
KDM6A,0.145061,1.15611,0.311641,-0.465744,0.755867,0.627668,2.129457,0.0,0.465475,0.641591,0.640274
KIT,-0.197301,0.820944,0.1617,-0.514227,0.119625,0.597963,1.127074,0.0,-1.220168,0.222401,2.168764
KRAS,0.249615,1.283531,0.152275,-0.048839,0.548068,0.952335,1.729908,0.0,1.639237,0.101164,3.305233
NOTCH1,0.223907,1.250955,0.230125,-0.227129,0.674943,0.796818,1.963921,0.0,0.972983,0.330562,1.597009
NPM1,-0.616997,0.539562,0.09282,-0.798922,-0.435073,0.449814,0.647218,0.0,-6.647225,0.0,34.962653
